account_id,segment,subscription_type,plan_tier,tenure_months,mrr,bundles_contracted,extra_users,renewal_due_days,subscription_status,renewed_last_quarter,renewal_intent,in_grace_period,login_count_30d,tool_activity_score,usage_change_vs_prev_quarter,feature_adoption_score,key_reports_used_30d,days_since_last_login,emails_with_csm_30d,csm_meetings_last_quarter,strategic_review_done,success_plan_active,tickets_last_quarter,reopened_tickets,avg_resolution_days,csat_support,sentiment_csm,sentiment_support,churn_label
ACC_00001,SMB,monthly,Pro,4,54.84,1,1,164,active,0,neutral,0,24,17.2,-16.5,0.0,8,7,7,2,0,1,5,1,6.7,3.5,-0.02,-0.14,0
ACC_00002,Enterprise,monthly,Enterprise,39,9793.65,4,12,51,churned,0,positive,0,59,52.6,25.0,43.6,18,11,9,2,0,0,2,0,3.1,4.0,0.28,0.3,0
ACC_00003,Mid-Market,annual,Business,7,1805.48,2,4,74,churned,0,positive,0,54,30.6,18.4,7.1,16,0,5,0,0,1,4,1,7.4,3.7,-0.28,0.18,0
ACC_00004,SMB,monthly,Pro,33,156.14,1,1,91,churned,0,negative,0,20,3.0,6.2,9.8,5,27,1,0,0,1,4,0,6.2,2.9,-0.16,-0.36,1
ACC_00005,SMB,annual,Guru,5,334.6,1,0,61,churned,0,positive,0,14,9.7,-16.5,8.6,8,23,1,0,0,1,6,1,4.2,3.5,-0.26,-0.45,0
ACC_00006,SMB,annual,Pro,34,158.8,1,0,65,churned,0,negative,0,16,9.1,5.7,5.0,5,0,2,1,0,1,5,0,1.2,4.0,-0.24,0.13,1
ACC_00007,SMB,monthly,Guru,26,517.31,2,0,151,churned,0,neutral,0,38,27.5,-3.3,0.0,14,0,5,1,0,1,5,0,3.1,4.7,-0.14,0.34,0
ACC_00008,Mid-Market,annual,Business,3,1450.83,4,3,79,churned,0,positive,0,40,47.0,-1.3,36.4,15,12,19,5,1,1,0,0,5.1,4.0,0.15,0.2,0
ACC_00009,Mid-Market,monthly,Guru,6,377.68,1,3,139,churned,0,positive,0,21,17.9,22.7,34.8,1,0,6,1,1,0,4,1,3.1,3.9,-0.34,0.16,0
ACC_00010,Mid-Market,monthly,Guru,41,470.68,3,3,143,churned,0,negative,0,13,23.2,-28.3,26.7,8,9,2,0,0,0,6,2,7.7,3.1,-0.64,-0.64,1
