account_id,segment,subscription_type,plan_tier,tenure_months,mrr,bundles_contracted,extra_users,renewal_due_days,subscription_status,renewed_last_quarter,renewal_intent,in_grace_period,login_count_30d,tool_activity_score,usage_change_vs_prev_quarter,feature_adoption_score,key_reports_used_30d,days_since_last_login,emails_with_csm_30d,csm_meetings_last_quarter,strategic_review_done,success_plan_active,tickets_last_quarter,reopened_tickets,avg_resolution_days,csat_support,sentiment_csm,sentiment_support,feedback_count_90d,feature_requests_count_90d,data_recalculation_requests_90d,critical_feedback_count_90d,unresolved_feedback_count,avg_unresolved_feedback_age_days,roadmap_alignment_score,feedback_sentiment_score,competitor_mentioned_in_feedback,feedback_linked_to_renewal,bugs_reported_90d,critical_bugs_reported_90d,open_bugs_count,stuck_bugs_count,avg_bug_resolution_days,oldest_open_bug_days,bug_reopen_count,data_accuracy_bug_flag,workaround_available_flag,bug_sentiment_score,bug_linked_to_renewal_flag,churn_label
ACC-00001,Mid-Market,Annual,Starter,28,3849.15,3,2,2,Grace Period,0,negative,1,55,93.7,39.7,77.4,16,7,5,1,0,0,6,2,6.1,3.0,-0.06,0.23,3,1,1,2,1,35.5,22.8,0.05,0,0,4,0,2,1,6.4,76,1,0,1,-0.44,1,0
ACC-00002,SMB,Annual,Starter,22,110.82,2,0,60,Active,0,neutral,0,58,81.3,-1.1,69.4,18,20,4,3,0,0,4,0,4.2,3.6,-0.22,-0.17,0,0,0,0,0,0.0,93.6,0.79,0,0,3,0,1,0,11.5,14,1,0,1,-0.07,0,0
ACC-00003,Mid-Market,Monthly,Business,18,1145.44,5,2,189,Active,1,positive,0,31,43.9,22.6,62.2,17,23,1,1,1,0,0,0,1.7,5.0,0.2,-0.32,2,0,1,0,0,0.0,67.6,0.6,0,0,0,0,0,0,0.0,0,0,0,1,0.48,0,0
ACC-00004,Mid-Market,Annual,Business,3,793.97,3,29,137,Active,0,neutral,0,35,67.2,21.4,58.6,15,25,5,2,1,1,1,0,0.7,4.3,-0.03,0.22,4,2,2,0,1,71.8,62.9,0.22,0,0,3,1,1,0,9.0,24,0,0,1,-0.01,0,0
ACC-00005,Enterprise,Annual,Enterprise,41,3006.27,4,38,180,Active,0,negative,0,15,27.7,-34.8,0,6,29,4,1,1,0,7,1,4.7,3.8,0.43,0.5,3,3,1,2,1,59.3,31.0,-0.23,0,0,1,0,0,0,6.3,0,0,0,1,0.1,0,0
ACC-00006,Enterprise,Annual,Enterprise,9,2786.35,3,0,166,Active,1,negative,0,37,22.2,-38.1,53.6,14,45,7,4,1,1,5,0,4.1,4.6,0.09,0.28,5,3,0,1,2,26.9,52.3,0.54,1,0,6,0,2,0,0.5,35,1,0,1,-0.07,0,0
ACC-00007,Mid-Market,Annual,Business,37,1416.82,2,29,135,Active,0,negative,0,8,1.2,-35.1,2.4,6,44,7,0,0,0,6,0,4.0,3.3,-0.11,0.05,7,6,2,0,4,99.2,70.1,-0.01,0,0,8,0,4,1,12.2,145,5,0,1,0.23,0,0
ACC-00008,Enterprise,Annual,Business,68,6957.27,3,12,164,Active,1,neutral,0,29,60.6,-0.2,53.6,7,21,5,5,1,1,2,1,3.4,3.8,0.72,0.31,3,0,1,0,1,17.2,57.5,0.16,0,0,3,0,1,0,2.8,16,1,0,1,-0.16,0,0
ACC-00009,Enterprise,Custom,Pro,42,12179.44,1,1,78,Active,0,neutral,0,33,69.9,25.2,46.8,12,14,2,2,0,1,1,0,4.0,4.3,0.74,-0.03,4,0,3,1,1,49.6,61.8,0.05,0,0,1,1,0,0,13.3,0,0,0,1,-0.07,0,0
ACC-00010,Mid-Market,Annual,Business,23,612.64,3,27,135,Active,1,neutral,0,29,49.8,15.0,28.9,11,28,5,5,0,1,6,0,6.5,3.9,0.76,-0.36,2,2,0,0,1,83.7,71.6,0.6,0,0,0,0,0,0,0.0,0,0,0,1,0.41,0,0
